,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2017666,-73.8943003498,40.8853379357,0,1,2,0,1
2017668,-73.9856602339,40.6688505465,1,0,1,2,2
2017733,-73.8754051513,40.8731930336,0,1,2,0,1
2017775,-73.9561269036,40.7118810675,1,0,0,4,2
2017855,-73.8522704846,40.8424771986,0,1,2,0,1
2017963,-73.8217666424,40.8276922232,0,1,2,0,1
2018000,-73.8231897637,40.7150336425,0,2,3,1,3
2018110,-73.8996404004,40.8600009347,0,1,2,0,1
2018111,-73.9790111613,40.7893799649,0,1,0,4,4
2018141,-74.0044979161,40.7099378138,1,0,0,4,2
2018246,-73.8987312494,40.6688425505,1,2,3,2,2
2018312,-73.9895701718,40.7228542719,1,0,0,4,2
2018402,-73.9379812613,40.8186514145,0,1,2,4,4
2018487,-74.0036876831,40.7341521008,1,0,0,4,2
2018660,-73.8846109936,40.8670050805,0,1,2,0,1
2018661,-73.9223084439,40.8682772229,0,1,2,0,1
2018663,-73.9724799586,40.5844980133,1,0,1,2,0
2018677,-73.8503679486,40.8350997013,0,1,2,0,1
2018685,-73.8557799242,40.7357498762,0,2,3,1,3
2018728,-73.9332870485,40.7728749401,0,1,0,4,4
2018881,-73.9681670074,40.7579941426,0,1,0,4,4
2018969,-73.9060140122,40.8803692015,0,1,2,0,1
2019017,-73.8833326322,40.7548488775,0,2,0,1,3
2019018,-73.8895065824,40.6732311954,1,2,3,2,2
2019170,-73.9698336745,40.752153772,0,1,0,4,4
2019260,-73.9118629118,40.6555905814,1,0,1,2,2
2019355,-73.9536438097,40.8228307467,0,1,2,4,4
2019385,-73.8175517589,40.7202453902,0,2,3,1,3
2019573,-73.8166862867,40.7319257262,0,2,3,1,3
2019708,-73.8580476143,40.7366831664,0,2,3,1,3
2019763,-74.0771918212,40.6433402419,1,0,1,3,5
2019836,-73.7481620855,40.7140622978,0,2,3,1,3
2019845,-73.9954678266,40.6832778858,1,0,1,2,2
2019846,-73.9453964812,40.6317839075,1,0,1,2,0
2019857,-73.9262756177,40.8316078212,0,1,2,0,1
2020050,-73.8912307567,40.772101835,0,1,0,4,4
2020124,-73.8851852733,40.8526865444,0,1,2,0,1
2020136,-73.9267614275,40.7743558809,0,1,0,4,4
2020154,-73.9526608503,40.6859718378,1,0,0,2,2
2020255,-73.9773988812,40.6665628206,1,0,1,2,2
2020295,-73.8928686645,40.8469053498,0,1,2,0,1
2020384,-73.958371804,40.5885286258,1,0,1,2,0
2020647,-73.9179669139,40.7035133696,1,0,0,2,2
2020652,-73.8456958564,40.8831752682,0,1,2,0,1
2020673,-73.9537008237,40.7253074833,1,0,0,4,2
2020700,-73.9276597285,40.7550663966,0,1,0,4,4
2020734,-73.9344929927,40.6626927201,1,0,1,2,2
2020761,-73.9037971126,40.8604765641,0,1,2,0,1
2020806,-73.9052128795,40.7422238972,0,2,0,4,4
2020820,-73.9434060458,40.8292241093,0,1,2,0,4
2020850,-73.8345138494,40.7059707866,0,2,3,1,3
2021085,-73.9754131303,40.7828028732,0,1,0,4,4
2021093,-73.9801015121,40.6935856122,1,0,0,2,2
2021226,-73.9951144992,40.6338416365,1,0,1,2,0
2021276,-73.9063844879,40.9049014932,0,1,2,0,1
2021443,-73.9087062053,40.7448095307,0,2,0,4,4
2021479,-73.9992248665,40.6781781843,1,0,1,2,2
2021808,-73.9871227247,40.7676181439,0,1,0,4,4
2021839,-73.9528884614,40.8180216941,0,1,2,4,4
2021843,-73.7595092653,40.7433759614,0,2,3,1,3
2021850,-73.8823934445,40.7368670536,0,2,3,1,3
2021857,-73.885558451,40.7513433214,0,2,0,1,3
2021954,-73.722836404,40.7503338627,0,2,3,1,3
2021957,-73.9673712654,40.798168627,0,1,0,4,4
2021990,-73.8580598271,40.72756235,0,2,3,1,3
