,X,Y,Z3,Z15,Z30
350,-74.1112771007,40.5594231013,1,0,1
351,-74.1012771007,40.5594231013,2,2,2
352,-74.0912771007,40.5594231013,0,2,2
353,-74.0812771007,40.5594231013,1,1,1
354,-74.0712771007,40.5594231013,2,1,1
355,-74.0612771007,40.5594231013,2,1,1
356,-74.0512771007,40.5594231013,0,1,1
357,-74.0412771007,40.5594231013,2,2,2
358,-74.0312771007,40.5594231013,2,2,2
359,-74.0212771007,40.5594231013,2,2,2
360,-74.0112771007,40.5594231013,0,0,0
361,-74.0012771007,40.5594231013,1,1,0
362,-73.9912771007,40.5594231013,0,0,0
363,-73.9812771007,40.5594231013,1,1,1
364,-73.9712771007,40.5594231013,0,0,0
365,-73.9612771007,40.5594231013,0,0,0
366,-73.9512771007,40.5594231013,0,1,1
367,-73.9412771007,40.5594231013,1,1,1
368,-73.9312771007,40.5594231013,0,1,1
369,-73.9212771007,40.5594231013,0,1,0
370,-73.9112771007,40.5594231013,1,0,0
371,-73.9012771007,40.5594231013,1,0,0
372,-73.8912771007,40.5594231013,1,1,1
373,-73.8812771007,40.5594231013,1,1,1
374,-73.8712771007,40.5594231013,1,1,1
375,-73.8612771007,40.5594231013,1,1,1
376,-73.8512771007,40.5594231013,1,1,1
377,-73.8412771007,40.5594231013,1,1,1
378,-73.8312771007,40.5594231013,0,0,1
379,-73.8212771007,40.5594231013,1,0,1
380,-73.8112771007,40.5594231013,1,1,1
381,-73.8012771007,40.5594231013,0,1,1
382,-73.7912771007,40.5594231013,1,1,1
383,-73.7812771007,40.5594231013,0,1,1
384,-73.7712771007,40.5594231013,1,1,1
385,-73.7612771007,40.5594231013,1,1,1
386,-73.7512771007,40.5594231013,0,1,1
387,-73.7412771007,40.5594231013,0,1,1
388,-73.7312771007,40.5594231013,0,1,1
389,-73.7212771007,40.5594231013,0,1,1
390,-73.7112771007,40.5594231013,0,1,1
391,-73.7012771007,40.5594231013,0,1,1
392,-74.2512771007,40.5694231013,1,1,1
393,-74.2412771007,40.5694231013,0,1,1
394,-74.2312771007,40.5694231013,1,0,1
395,-74.2212771007,40.5694231013,2,0,1
396,-74.2112771007,40.5694231013,2,2,1
397,-74.2012771007,40.5694231013,2,1,1
398,-74.1912771007,40.5694231013,1,1,1
399,-74.1812771007,40.5694231013,1,1,1
400,-74.1712771007,40.5694231013,1,1,1
401,-74.1612771007,40.5694231013,0,1,1
402,-74.1512771007,40.5694231013,1,1,1
403,-74.1412771007,40.5694231013,1,1,1
404,-74.1312771007,40.5694231013,0,1,1
405,-74.1212771007,40.5694231013,1,1,1
406,-74.1112771007,40.5694231013,1,1,1
407,-74.1012771007,40.5694231013,1,1,0
408,-74.0912771007,40.5694231013,1,1,1
409,-74.0812771007,40.5694231013,2,1,1
410,-74.0712771007,40.5694231013,2,1,1
411,-74.0612771007,40.5694231013,0,1,1
412,-74.0512771007,40.5694231013,0,0,1
413,-74.0412771007,40.5694231013,2,2,2
414,-74.0312771007,40.5694231013,2,2,2
415,-74.0212771007,40.5694231013,2,2,2
416,-74.0112771007,40.5694231013,2,2,2
417,-74.0012771007,40.5694231013,1,0,0
418,-73.9912771007,40.5694231013,1,1,1
419,-73.9812771007,40.5694231013,1,1,1
420,-73.9712771007,40.5694231013,0,0,0
421,-73.9612771007,40.5694231013,0,0,0
422,-73.9512771007,40.5694231013,0,1,1
423,-73.9412771007,40.5694231013,1,1,1
424,-73.9312771007,40.5694231013,1,1,0
425,-73.9212771007,40.5694231013,0,0,0
426,-73.9112771007,40.5694231013,0,0,0
427,-73.9012771007,40.5694231013,1,0,1
428,-73.8912771007,40.5694231013,1,1,1
429,-73.8812771007,40.5694231013,1,1,1
430,-73.8712771007,40.5694231013,1,1,1
431,-73.8612771007,40.5694231013,1,1,1
432,-73.8512771007,40.5694231013,1,1,1
433,-73.8412771007,40.5694231013,0,1,1
434,-73.8312771007,40.5694231013,1,1,1
435,-73.8212771007,40.5694231013,0,0,1
436,-73.8112771007,40.5694231013,1,1,1
437,-73.8012771007,40.5694231013,1,1,1
438,-73.7912771007,40.5694231013,1,1,1
439,-73.7812771007,40.5694231013,0,1,1
440,-73.7712771007,40.5694231013,1,1,1
441,-73.7612771007,40.5694231013,1,1,1
