,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2013312,-73.9349137179,40.8521077598,1,1,2,2,2
2013313,-73.9458476858,40.7816838999,1,1,2,0,1
2013314,-73.9519268588,40.8138301093,1,1,2,0,2
2013315,-74.1444024284,40.6234196639,0,0,1,3,3
2013316,-73.9177953825,40.8192179261,1,1,2,2,2
2013317,-73.9206832657,40.6333313004,0,0,3,1,4
2013318,-73.8509345864,40.7305835609,0,2,0,4,0
2013319,-73.9765039708,40.6385850767,0,0,3,1,4
2013320,-73.8022077658,40.7595002923,1,2,0,4,5
2013321,-73.9380952809,40.8514343137,1,1,2,2,2
2013322,-73.9357870387,40.808664916,1,1,2,2,2
2013323,-73.9201616212,40.831447302,1,1,2,2,2
2013324,-73.997920209,40.6637186871,0,0,3,1,4
2013325,-73.9550902102,40.7033362174,0,0,3,1,4
2013329,-73.9390202116,40.844010377,1,1,2,2,2
2013330,-73.8630453532,40.7524605699,1,2,0,4,0
2013331,-73.8190580065,40.7700403741,1,2,0,4,5
2013332,-74.1011865136,40.5861201036,0,0,1,3,3
2013333,-73.8304590986,40.7558920719,1,2,0,4,5
2013335,-73.9518313841,40.6762055904,0,0,3,1,4
2013336,-73.9502845993,40.7973363607,1,1,2,0,1
2013337,-74.0761868821,40.6247614369,0,0,1,3,3
2013340,-73.896534143,40.9070284455,1,1,2,2,2
2013341,-74.0003717122,40.7444175311,0,0,3,0,1
2013342,-73.9221964507,40.7445916193,0,0,3,0,1
2013343,-73.8653233559,40.8682357636,1,1,2,2,2
2013345,-73.8642551982,40.879627744,1,1,2,2,2
2013346,-73.9557916172,40.8203915361,1,1,2,2,2
2013347,-73.9019493871,40.8631867724,1,1,2,2,2
2013348,-73.8867905021,40.7633198703,1,1,2,0,0
2013351,-73.8757386461,40.8301783605,1,1,2,2,2
2013352,-73.9467787167,40.8366144816,1,1,2,2,2
2013354,-73.8540651755,40.871194583,1,1,2,2,2
2013375,-74.0017441895,40.6490396044,0,0,3,1,4
2013376,-73.9481990473,40.6647720168,0,0,3,1,4
2013377,-73.876513542,40.8254198531,1,1,2,2,2
2013381,-73.9578201215,40.658224158,0,0,3,1,4
2013382,-73.9029059207,40.8840390238,1,1,2,2,2
2013383,-73.7644104211,40.683053271,0,2,0,4,5
2013385,-73.9292788887,40.8584474505,1,1,2,2,2
2013386,-73.961210159,40.6608191685,0,0,3,1,4
2013388,-73.9411152322,40.7964262807,1,1,2,0,1
2013390,-73.9130367691,40.703408194,0,0,3,1,0
2013391,-73.9468944609,40.8274334697,1,1,2,2,2
2013399,-73.9360831825,40.5943208972,0,0,3,1,4
2013400,-73.889253605,40.8711705904,1,1,2,2,2
2013404,-73.9315761182,40.8568184832,1,1,2,2,2
2013405,-73.7486278893,40.6976770059,0,2,0,4,5
2013407,-73.857639446,40.6794542712,0,2,0,4,0
2013409,-73.9852674797,40.7660204824,1,0,3,0,1
2013410,-73.8761262101,40.8277442137,1,1,2,2,2
2013411,-73.9246131469,40.7712062792,1,1,2,0,1
2013412,-73.9080027406,40.8543812661,1,1,2,2,2
2013413,-73.8211125411,40.6825652651,0,2,0,4,5
2013414,-73.875790604,40.7655674609,1,1,2,0,0
2013417,-73.9084713721,40.7476227137,0,1,3,0,0
2013421,-73.8825223905,40.8540671948,1,1,2,2,2
2013422,-74.0831746013,40.6124654087,0,0,1,3,3
2013423,-73.901789604,40.8318420825,1,1,2,2,2
2013426,-73.9609979832,40.6599984075,0,0,3,1,4
2013428,-73.8841514714,40.6555166025,0,2,3,1,0
2013429,-73.9053965363,40.6891266233,0,0,3,1,0
2013431,-73.9841374577,40.7208993836,0,0,3,0,1
2013435,-74.0068317106,40.6402533594,0,0,1,1,4
2013436,-73.9453662552,40.8227338015,1,1,2,2,2
2013438,-74.1662853429,40.63306824,0,0,1,3,3
2013440,-73.8219424881,40.682311288,0,2,0,4,5
2013461,-73.9229881774,40.8308097058,1,1,2,2,2
2013462,-73.902839465,40.815682072,1,1,2,2,2
2013463,-73.9747624469,40.7942153282,1,1,2,0,1
2013464,-73.9081512672,40.8620034211,1,1,2,2,2
2013468,-73.9440190029,40.611765478,0,0,3,1,4
2013469,-73.8219693679,40.7613769982,1,2,0,4,5
2013471,-73.9091560332,40.833088731,1,1,2,2,2
2013473,-73.9470883563,40.6881103321,0,0,3,1,4
2013474,-73.8514908726,40.8711473835,1,1,2,2,2
2013475,-73.9255604336,40.7053685031,0,0,3,1,0
2013476,-73.9075146415,40.7166693352,0,0,3,1,0
2013478,-73.8206580947,40.6987093262,0,2,0,4,5
2013479,-73.9030007961,40.8760218609,1,1,2,2,2
2013482,-73.9359862868,40.8418760949,1,1,2,2,2
2013483,-73.9281944014,40.7043985294,0,0,3,1,0
2013485,-73.8875016959,40.8167221002,1,1,2,2,2
2013486,-73.9129300929,40.840310234,1,1,2,2,2
2013487,-73.9013691791,40.8570601052,1,1,2,2,2
2013488,-73.8734473693,40.7524477651,1,2,0,4,0
2013489,-73.9249856642,40.7449832244,0,0,3,0,1
2013491,-73.9090462635,40.8235095865,1,1,2,2,2
2013493,-73.9518571171,40.8253414303,1,1,2,2,2
2013495,-73.9282647018,40.8569262599,1,1,2,2,2
2013505,-73.9383391319,40.7989444899,1,1,2,0,1
2013508,-73.9495230902,40.8251702598,1,1,2,2,2
2013509,-73.9633881749,40.6458663095,0,0,3,1,4
2013515,-73.8133837069,40.6691831627,0,2,0,4,5
2013519,-73.9285744982,40.7535902936,0,1,3,0,1
2013524,-73.9827613339,40.741166457,0,0,3,0,1
2013528,-73.9050379071,40.8396644887,1,1,2,2,2
2013529,-73.8798829869,40.8724100537,1,1,2,2,2
2013530,-73.9387671223,40.6674160942,0,0,3,1,4
2013532,-73.9237253656,40.8465483657,1,1,2,2,2
2013533,-73.9347839338,40.6563606764,0,0,3,1,4
2013534,-73.9537327426,40.809247162,1,1,2,0,1
2013536,-73.9469234657,40.7095331644,0,0,3,1,1
2013538,-73.9632137768,40.798784939,1,1,2,0,1
2013540,-73.9780636596,40.7167318414,0,0,3,0,1
2013541,-74.0822236359,40.6357693756,0,0,1,3,3
2013542,-73.9783029112,40.5912542149,0,0,1,1,4
2013543,-73.8569175999,40.8344108551,1,1,2,2,2
2013544,-73.7816229643,40.704076535,0,2,0,4,5
2013545,-74.0739811031,40.614003289,0,0,1,3,3
2013546,-73.9302078161,40.8551351612,1,1,2,2,2
2013547,-73.8959860626,40.820347608,1,1,2,2,2
2013548,-73.9762428174,40.6333177763,0,0,3,1,4
2013549,-73.9035307594,40.8123176227,1,1,2,2,2
2013551,-73.9315630179,40.6974041708,0,0,3,1,0
2013553,-73.954092457,40.6700472377,0,0,3,1,4
2013554,-73.9618266329,40.6479902647,0,0,3,1,4
2013558,-73.8705036669,40.762825129,1,2,0,4,0
2013560,-73.9313133597,40.8312184376,1,1,2,2,2
