,X,Y,Z3,Z15,Z30
398,-74.1206958083,40.5694231013,1,0,0
399,-74.1106958083,40.5694231013,1,0,2
400,-74.1006958083,40.5694231013,2,2,2
401,-74.0906958083,40.5694231013,2,2,2
402,-74.0806958083,40.5694231013,2,2,2
403,-74.0706958083,40.5694231013,2,2,2
404,-74.0606958083,40.5694231013,0,2,0
405,-74.0506958083,40.5694231013,0,2,0
406,-74.0406958083,40.5694231013,2,2,2
407,-74.0306958083,40.5694231013,2,2,2
408,-74.0206958083,40.5694231013,2,2,2
409,-74.0106958083,40.5694231013,2,2,2
410,-74.0006958083,40.5694231013,0,0,0
411,-73.9906958083,40.5694231013,1,1,1
412,-73.9806958083,40.5694231013,1,1,1
413,-73.9706958083,40.5694231013,0,0,0
414,-73.9606958083,40.5694231013,0,2,2
415,-73.9506958083,40.5694231013,0,0,0
416,-73.9406958083,40.5694231013,2,1,0
417,-73.9306958083,40.5694231013,0,2,0
418,-73.9206958083,40.5694231013,0,0,0
419,-73.9106958083,40.5694231013,2,0,0
420,-73.9006958083,40.5694231013,2,0,0
421,-73.8906958083,40.5694231013,1,0,0
422,-73.8806958083,40.5694231013,1,2,2
423,-73.8706958083,40.5694231013,1,2,1
424,-73.8606958083,40.5694231013,1,2,1
425,-73.8506958083,40.5694231013,2,2,1
426,-73.8406958083,40.5694231013,2,0,2
427,-73.8306958083,40.5694231013,0,1,2
428,-73.8206958083,40.5694231013,0,1,1
429,-73.8106958083,40.5694231013,0,1,1
430,-73.8006958083,40.5694231013,0,0,1
431,-73.7906958083,40.5694231013,0,0,0
432,-73.7806958083,40.5694231013,0,0,0
433,-73.7706958083,40.5694231013,1,1,2
434,-73.7606958083,40.5694231013,2,1,0
435,-73.7506958083,40.5694231013,0,0,0
436,-73.7406958083,40.5694231013,0,1,0
437,-73.7306958083,40.5694231013,0,1,0
438,-73.7206958083,40.5694231013,0,1,0
439,-73.7106958083,40.5694231013,0,1,0
440,-74.2506958083,40.5794231013,2,2,2
441,-74.2406958083,40.5794231013,2,2,2
442,-74.2306958083,40.5794231013,2,2,2
443,-74.2206958083,40.5794231013,2,2,2
444,-74.2106958083,40.5794231013,2,2,2
445,-74.2006958083,40.5794231013,1,2,2
446,-74.1906958083,40.5794231013,1,1,2
447,-74.1806958083,40.5794231013,1,1,2
448,-74.1706958083,40.5794231013,0,2,2
449,-74.1606958083,40.5794231013,1,2,2
450,-74.1506958083,40.5794231013,2,2,2
451,-74.1406958083,40.5794231013,2,2,2
452,-74.1306958083,40.5794231013,2,2,2
453,-74.1206958083,40.5794231013,0,0,0
454,-74.1106958083,40.5794231013,2,0,0
455,-74.1006958083,40.5794231013,2,1,2
456,-74.0906958083,40.5794231013,2,2,2
457,-74.0806958083,40.5794231013,2,2,2
458,-74.0706958083,40.5794231013,0,0,2
459,-74.0606958083,40.5794231013,0,2,0
460,-74.0506958083,40.5794231013,0,2,0
461,-74.0406958083,40.5794231013,0,2,2
462,-74.0306958083,40.5794231013,2,2,2
463,-74.0206958083,40.5794231013,2,2,2
464,-74.0106958083,40.5794231013,2,2,2
465,-74.0006958083,40.5794231013,0,0,0
466,-73.9906958083,40.5794231013,2,1,1
467,-73.9806958083,40.5794231013,0,1,1
468,-73.9706958083,40.5794231013,0,0,0
469,-73.9606958083,40.5794231013,0,0,0
470,-73.9506958083,40.5794231013,1,0,0
471,-73.9406958083,40.5794231013,0,0,2
472,-73.9306958083,40.5794231013,0,2,0
473,-73.9206958083,40.5794231013,0,0,0
474,-73.9106958083,40.5794231013,2,0,0
475,-73.9006958083,40.5794231013,2,0,0
476,-73.8906958083,40.5794231013,1,0,2
477,-73.8806958083,40.5794231013,1,1,2
478,-73.8706958083,40.5794231013,1,2,1
479,-73.8606958083,40.5794231013,1,2,1
480,-73.8506958083,40.5794231013,2,2,1
481,-73.8406958083,40.5794231013,0,0,2
482,-73.8306958083,40.5794231013,2,1,1
483,-73.8206958083,40.5794231013,0,1,1
484,-73.8106958083,40.5794231013,1,1,1
485,-73.8006958083,40.5794231013,0,0,0
486,-73.7906958083,40.5794231013,0,0,0
487,-73.7806958083,40.5794231013,0,0,0
