,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2014142,-73.9402960798,40.8479991032,0,0,2,1,3
2014143,-73.8278874426,40.7118485977,0,2,3,3,0
2014154,-73.9720962923,40.7531040247,1,1,0,4,1
2014155,-73.9987724792,40.5762065094,1,1,1,0,2
2014165,-73.9367783561,40.8298656743,0,0,2,4,3
2014178,-74.0051081585,40.6244269999,1,1,1,0,2
2014207,-73.9400488921,40.701169235,1,1,0,2,1
2014223,-73.9489013298,40.7973083085,0,0,0,4,3
2014224,-73.9468745035,40.7845443914,0,0,0,4,3
2014225,-73.9062914679,40.8220636589,0,0,2,1,3
2014226,-73.9431238531,40.8211709729,0,0,2,4,3
2014227,-74.0006783717,40.7352500592,1,1,0,4,1
2014228,-73.9793455195,40.596296603,1,1,1,0,2
2014229,-73.9058529757,40.8842802533,0,0,2,1,5
2014230,-73.9415370606,40.8342789389,0,0,2,4,3
2014239,-73.8304591056,40.7558893272,0,2,3,3,0
2014245,-73.9476277027,40.8048227993,0,0,0,4,3
2014256,-73.8975233952,40.6948180263,1,2,3,2,0
2014264,-73.8687625987,40.8714812142,0,0,2,1,5
2014308,-73.923875019,40.7410437773,0,2,0,4,1
2014309,-73.9209488919,40.6676193228,1,1,1,2,2
2014310,-73.9111545883,40.8194106203,0,0,2,1,3
2014312,-73.8271782557,40.7113040712,0,2,3,3,0
2014313,-73.9531223781,40.819325531,0,0,2,4,3
2014315,-73.8841115635,40.7428056984,0,2,3,3,0
2014317,-73.90257554,40.8553017757,0,0,2,1,5
2014318,-73.9194883436,40.8294130005,0,0,2,1,3
2014319,-74.0221078783,40.6357335184,1,1,1,0,2
2014320,-74.0067816653,40.7150951095,1,1,0,2,1
2014321,-73.860812289,40.7277550985,0,2,3,3,0
2014332,-73.8654872974,40.7407159078,0,2,3,3,0
2014349,-73.9814686889,40.7827408771,0,0,0,4,3
2014350,-73.9018183338,40.8295145888,0,0,2,1,5
2014351,-73.8662563161,40.7297432665,0,2,3,3,0
2014358,-73.999596006,40.7117823814,1,1,0,2,1
2014370,-74.0070702608,40.7152268406,1,1,0,2,1
2014412,-73.9418743379,40.6509023612,1,1,1,2,2
2014414,-73.938515627,40.8503037203,0,0,2,1,3
2014415,-73.9375157701,40.8449784536,0,0,2,1,3
2014424,-73.9188767104,40.8479805393,0,0,2,1,5
2014427,-73.8576200045,40.7273998661,0,2,3,3,0
2014444,-73.9009984029,40.8292943105,0,0,2,1,5
2014446,-73.8472925367,40.7249245821,0,2,3,3,0
2014448,-73.8818725593,40.660238056,1,2,3,2,0
2014451,-73.8898867579,40.7486549407,0,2,0,4,0
2014452,-73.9560585751,40.6240207212,1,1,1,2,2
2014454,-74.000381807,40.6167279721,1,1,1,0,2
2014460,-73.9644511038,40.7948713443,0,0,0,4,3
2014461,-73.9142951226,40.8243205541,0,0,2,1,3
2014465,-73.8360927711,40.8427353052,0,0,2,1,5
2014493,-73.9405538324,40.5959784108,1,1,1,0,2
2014501,-73.9834362687,40.726202157,1,1,0,2,1
2014502,-73.9362303586,40.673974733,1,1,1,2,2
2014505,-73.9298748142,40.8521185304,0,0,2,1,3
2014524,-73.9585504299,40.6371829102,1,1,1,2,2
2014527,-73.9824485346,40.6819838487,1,1,1,2,1
