,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2017333,-73.9303485613,40.8311959012,1,0,2,4,0
2017367,-74.2113551555,40.5403679166,0,2,3,2,3
2017426,-73.9508321343,40.6525945809,0,2,1,0,1
2017430,-73.9054617337,40.8338844735,1,0,2,4,5
2017474,-73.8914454246,40.7577964328,1,0,2,3,0
2017496,-73.9865024995,40.5859607506,0,2,3,0,1
2017564,-73.9371253958,40.8067690493,1,0,2,4,0
2017605,-73.9221382752,40.8128971035,1,0,2,4,0
2017607,-73.9177845822,40.7577743259,1,0,2,3,0
2017619,-73.9720962923,40.7531040247,0,2,1,3,4
2017620,-73.9431958289,40.7072230388,0,2,1,3,4
2017676,-73.9354213408,40.668064777,0,2,1,0,4
2017677,-73.9642568683,40.6521384129,0,2,1,0,1
2017699,-73.9878041303,40.5754208548,0,2,3,0,1
2017700,-73.9599364436,40.6811300778,0,2,1,0,4
2017711,-73.9429594035,40.7559039019,1,0,2,3,0
2017720,-74.1656761572,40.5952128605,0,2,3,2,3
2017730,-74.0354393121,40.622939464,0,2,3,0,1
2017731,-73.8673173147,40.8383537183,1,0,2,4,5
2017789,-73.9376069025,40.7632295952,1,0,2,3,0
2017832,-73.9158925992,40.8411193769,1,0,2,4,5
2017851,-73.8359241428,40.7191421959,1,1,0,1,2
2017854,-73.9969519977,40.7120376046,0,2,1,3,4
2017893,-73.9434898456,40.8326660213,1,0,2,4,0
2017928,-73.9570643631,40.6620802943,0,2,1,0,1
2017933,-73.9219675908,40.7027366377,0,2,1,3,4
2017975,-73.9168909001,40.8115430367,1,0,2,4,0
2017976,-73.9422171187,40.6961885911,0,2,1,0,4
2017998,-73.9437609491,40.6914903112,0,2,1,0,4
2018009,-73.9590677767,40.6454915623,0,2,1,0,1
2018054,-73.9681810592,40.6303459667,0,2,1,0,1
2018055,-73.7355809736,40.7283837518,1,1,0,1,2
2018207,-73.9497386737,40.6497779609,0,2,1,0,1
2018221,-73.9249258354,40.7404296426,1,0,1,3,4
2018222,-73.9939683072,40.5992599379,0,2,3,0,1
2018311,-73.9524733797,40.8124085701,1,0,2,4,0
2018322,-73.9895701718,40.7228542719,0,2,1,3,4
2018332,-74.0308156742,40.6344249955,0,2,3,0,1
2018411,-73.8505139714,40.734724856,1,1,0,1,2
2018418,-73.9833685734,40.7372360615,0,2,1,3,4
2018420,-73.944707923,40.6627420001,0,2,1,0,1
2018423,-73.9599251802,40.6458761341,0,2,1,0,1
2018435,-73.9513699298,40.6663077321,0,2,1,0,1
2018486,-73.7891335287,40.7697507013,1,1,0,1,2
2018490,-73.8993282376,40.8847166416,1,0,2,4,5
2018529,-73.8556973578,40.7238896684,1,1,0,1,2
2018530,-73.9363984622,40.8303650033,1,0,2,4,0
2018607,-73.9500159364,40.7703335485,1,0,2,3,0
2018627,-73.911505319,40.7811658476,1,0,2,3,0
2018645,-73.9811756114,40.6954275324,0,2,1,0,4
2018706,-73.9722808939,40.5783605874,0,2,1,0,1
2018709,-73.8604748373,40.8630782009,1,0,2,4,5
2018810,-73.9170830272,40.8400058867,1,0,2,4,5
2018811,-73.8585590626,40.7269316695,1,1,0,1,2
2018864,-73.9571971404,40.6686101715,0,2,1,0,4
2018865,-74.1267305678,40.6050338986,0,2,3,2,3
2018880,-73.8147523503,40.734502706,1,1,0,1,2
2018903,-73.9322407286,40.8502535453,1,0,2,4,5
2018918,-73.9851267839,40.6686007041,0,2,1,0,1
2018935,-73.9792486225,40.6879394705,0,2,1,0,4
2018953,-73.8264601069,40.671256728,1,1,0,1,2
2018958,-73.9145812231,40.7562541505,1,0,2,3,0
2019051,-73.9794916709,40.7300880967,0,2,1,3,4
2019052,-73.9531542186,40.6406502487,0,2,1,0,1
2019056,-73.8848010739,40.8720692364,1,0,2,4,5
2019101,-73.9417415907,40.8194301313,1,0,2,4,0
2019102,-73.9415759303,40.8393978445,1,0,2,4,0
2019108,-73.8545976502,40.8459522146,1,0,2,4,5
2019162,-73.8092795413,40.7303629069,1,1,0,1,2
2019171,-73.9351710486,40.59550065,0,2,1,0,1
2019172,-73.9651658075,40.6506729779,0,2,1,0,1
2019174,-73.824896749,40.7586888859,1,1,0,1,2
2019177,-73.9564050315,40.6561458312,0,2,1,0,1
2019211,-73.9352743188,40.8084258383,1,0,2,4,0
2019288,-73.965157204,40.6740475148,0,2,1,0,4
2019290,-73.9412104948,40.7090033939,0,2,1,3,4
2019314,-73.9543519937,40.6700638097,0,2,1,0,4
2019383,-73.9079330957,40.7767330428,1,0,2,3,0
2019384,-73.9167175597,40.8374777448,1,0,2,4,5
2019426,-73.9785465159,40.7632060664,1,0,1,3,0
2019503,-73.9265028014,40.7633383256,1,0,2,3,0
2019506,-73.8859419888,40.8161304527,1,0,2,4,5
2019532,-74.0099667768,40.6420097932,0,2,1,0,1
2019565,-73.9197609665,40.6632707702,0,2,1,0,4
2019595,-74.0053175693,40.6755842523,0,2,1,0,1
2019612,-73.7844007393,40.5934776669,0,1,0,1,2
2019658,-73.9322607125,40.7702915411,1,0,2,3,0
2019705,-73.9384345134,40.8246872923,1,0,2,4,0
2019711,-73.9474336321,40.7944284276,1,0,2,3,0
2019794,-73.9571928322,40.8213554608,1,0,2,4,0
2019868,-74.0265943367,40.6195328192,0,2,3,0,1
2019873,-73.9422058613,40.8173388887,1,0,2,4,0
2019879,-73.9499461384,40.6758644336,0,2,1,0,4
2019952,-73.9455944264,40.6629729842,0,2,1,0,1
2019957,-73.9582811394,40.6529708145,0,2,1,0,1
2019960,-73.9158489366,40.6927797969,0,2,1,0,4
2020042,-73.919938628,40.7464894394,1,0,1,3,4
2020073,-73.9493902225,40.7718319032,1,0,2,3,0
2020074,-73.8972056446,40.910265019,1,0,2,4,5
2020135,-73.9542206746,40.7721029081,1,0,2,3,0
2020145,-74.0203377065,40.6320942564,0,2,3,0,1
2020204,-73.8489972023,40.7273230067,1,1,0,1,2
2020271,-73.9529020112,40.6814622758,0,2,1,0,4
2020274,-73.7833805011,40.6848746539,1,1,0,1,2
2020294,-73.8568932616,40.8222050643,1,0,2,4,5
2020346,-73.8948108628,40.7432551277,1,1,0,3,4
2020347,-73.9059861445,40.690370488,0,1,1,0,4
2020374,-73.9827792495,40.6997754949,0,2,1,0,4
2020381,-73.9865710685,40.7104778367,0,2,1,3,4
2020472,-73.9286375395,40.6172520358,0,2,1,0,1
2020477,-73.9541042706,40.7366983796,0,2,1,3,4
2020527,-73.93940194,40.611436506,0,2,1,0,1
2020572,-73.9957402473,40.5954529823,0,2,3,0,1
2020587,-73.9394624262,40.6638866769,0,2,1,0,4
2020623,-73.9067908822,40.6847718073,0,1,1,0,4
2020662,-73.9668296311,40.6746820523,0,2,1,0,4
2020736,-73.9539332226,40.6709474608,0,2,1,0,4
2020828,-73.9366740161,40.8255948401,1,0,2,4,0
2020829,-73.8223348412,40.8232960566,1,0,2,4,5
2020856,-73.9775636326,40.7768829171,1,0,2,3,0
2020896,-73.8901980738,40.848813155,1,0,2,4,5
2020910,-73.944368802,40.8143729097,1,0,2,4,0
2020921,-73.8588331594,40.7372001462,1,1,0,1,2
2020933,-73.9923979679,40.7600211664,0,2,1,3,0
2021023,-73.9616493505,40.6366761998,0,2,1,0,1
2021081,-73.9654366378,40.7957005523,1,0,2,3,0
2021166,-73.9180100915,40.7769080825,1,0,2,3,0
2021199,-73.8499528341,40.7259299175,1,1,0,1,2
2021214,-73.959060595,40.6454503879,0,2,1,0,1
2021225,-73.9452922854,40.8292058065,1,0,2,4,0
2021243,-73.9593596905,40.6572750181,0,2,1,0,1
2021323,-73.9253178376,40.8092322568,1,0,2,4,0
2021341,-73.8503679486,40.8350997013,1,0,2,4,5
2021385,-73.9364988963,40.8462898682,1,0,2,4,0
2021386,-73.9273507359,40.836502326,1,0,2,4,0
2021416,-73.87335832,40.7537239757,1,1,0,1,2
2021424,-73.9547185546,40.7088997095,0,2,1,3,4
2021459,-73.8596898217,40.8307555549,1,0,2,4,5
